date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"MAR 30"," Council Bluffs Watch Party ",49," IA","Lincoln's Pub -  157 W. Broadway, Council Bluffs, IA",41.23238,-95.875086,1,place,,,"Council Bluffs",IA,"Pottawattamie County",51501,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 30"," Coffee & Community Conversations in Ottumwa ",27," IA","Top Hat Coffee - 228 E Main St,  Ottumwa, IA",41.030933,-92.409827,1,place,,,Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 29"," Organizing Event with Elizabeth Warren & J.D. Scholten ",546," IA","Noah’s Event Venue - 1805 90th St. West, Des Moines, IA",41.567138,-93.717232,1,place,,,"West Des Moines",IA,"Polk County",50265,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 29"," Perry Meet & Greet with Elizabeth Warren ",310," IA","La Poste – 1219 Warford St, Perry, IA",41.516482,-94.031772,0.9,street_center,,"N Ln","De Soto",IA,"Dallas County",50069,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 29"," Marshalltown Meet & Greet with Elizabeth Warren ",188," IA","Iowa Veterans Home (Whitehall Auditorium) – 1301 Summit St, Marshalltown, IA",42.036096,-92.998867,1,place,,,Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 24"," Conway Organizing Event with Elizabeth Warren ",224," NH","A. Crosby Kennett Middle School, Conway, NH",43.98132,-71.12722,1,place,,,Conway,NH,"Carroll County",03818,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 23"," Berlin Meet & Greet with Elizabeth Warren ",190," NH","Berlin City Hall – 168 Main Street, Berlin, NH",44.512344,-71.194226,1,place,,,Berlin,NH,"Coos County",03570,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 23"," Community Conversation w/ Elizabeth Warren on the Opioid Crisis ",171," NH","Littleton High School, Littleton, NH",44.335289,-71.877638,1,place,,,Littleton,NH,"Grafton County",03561,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 19"," Birmingham Organizing Event with Elizabeth Warren ",1087," AL","The Boutwell Auditorium, Birmingham, AL",33.456412,-86.801904,1,place,,,Birmingham,AL,"Jefferson County",35201,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 18"," CNN Town Hall with Elizabeth Warren Watch Party ",152," MS","The Manship, Jackson, MS",32.289656,-90.184201,1,place,,,Jackson,MS,"Hinds County",39201,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 17"," Shelby County Organizing Event with Elizabeth Warren ",764," TN","Frederick Douglass High School - Red Devils, Memphis, TN",35.169255,-89.990415,1,place,,,Memphis,TN,"Shelby County",37501,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 15"," Exeter Organizing Event with Elizabeth Warren ",672," NH","Exeter Town Hall – 10 Front Street, Exeter, NH",42.948397,-71.028841,1,street_center,,"Exeter Rd",Exeter,NH,"Rockingham County",03833,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 10"," Dallas Organizing Event with Elizabeth Warren ",2714," TX","Granada Theater, Dallas, TX",32.761359,-96.76216,0.8,street_center,,"Guaranty St",Dallas,TX,"Dallas County",75215,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 2"," Waterloo Organizing Event with Elizabeth Warren ",565," IA","Central Middle School, Waterloo, IA",42.441117,-92.339209,1,place,,,Waterloo,IA,"Black Hawk County",50701,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 1"," Decorah House Party with Elizabeth Warren ",172," IA","218 W Water St, Decorah, IA",43.304246,-91.78798,1,rooftop,218,"W Water St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
"MAR 1"," Coffee with Elizabeth Warren in Elkader ",106," IA","916 N High St, Elkader, IA",42.862386,-91.399974,1,range_interpolation,916,"N High St",Elkader,IA,"Clayton County",52043,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 1"," Dubuque Organizing Event with Elizabeth Warren ",723," IA","Stone Cliff Winery, Dubuque, IA",42.50349,-90.709629,0.9,street_center,,"St Anne Dr",Dubuque,IA,"Dubuque County",52001,US,"TIGER/Line® dataset from the US Census Bureau"
"FEB 23"," Plymouth Organizing Event with Elizabeth Warren ",484," NH","Heritage Commons at Plymouth State University – 17 High Street, Plymouth, NH",43.710919,-71.694017,1,place,,,Plymouth,NH,"Grafton County",03264,US,"TIGER/Line® dataset from the US Census Bureau"
