date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"APR 6"," House Party at Kennedy Residence ",109," IA","Home of Joan and Steve Kennedy, 1402 Oakwood Dr, Polk City, IA",41.776944,-93.672152,1,street_center,,"Hume St","Polk City",IA,"Polk County",50226,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 6"," House Party at Jensen Residence ",114," IA","Home of Suzette Jensen, 3127 Thompson Ave, Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 5"," Grinnell, IA Town Hall ",412," IA","Hotel Grinnell, Grinnell, IA",41.685324,-92.630258,1,place,,,Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 5"," Marshalltown, IA House Party ",290," IA","Mowry Irvine Mansion, 503 W. Main St, Marshalltown, IA",42.036096,-92.998867,1,place,,,Marshalltown,IA,"Marshall County",50158,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 5"," Fort Dodge, IA Meet & Greet ",712," IA","Iowa Central Community College, Triton Cafe Conference Room, One Triton Circle, Fort Dodge, IA",42.438596,-94.166587,1,place,,,"Fort Dodge",IA,"Webster County",50501,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 5"," Storm Lake Meet & Greet ",178," IA","Better Day Cafe, 518 Lake Ave N, Storm Lake, IA",42.693184,-95.151811,1,place,,,"Storm Lake",IA,"Buena Vista County",50588,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 4"," Sioux City Town Hall ",440," IA","Yockey Room, Olsen Student Center, Morningside College 1501 Morningside Ave, Sioux City, IA",42.494745,-96.399356,1,place,,,"Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 4"," Denison, IA Meet & Greet ",130," IA","Cronk’s Cafe, 812 4th Ave S, Denison, IA",42.037235,-95.381819,1,place,,,Denison,IA,"Crawford County",51442,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 4"," Carroll, IA Meet & Greet ",83," IA","Kerps Tavern, 223 E. 5th St, Carroll, IA",42.042547,-94.8338,1,place,,,Carroll,IA,"Carroll County",51401,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 3"," Iowa State University Town Hall ",403," IA","Maintenance Shop, Memorial Union, 2229 Lincoln Way, Ames, IA",42.037879,-93.600254,1,place,,,Ames,IA,"Story County",50010,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 30"," Tonight: Beto for America Launch - Austin ",22325," TX","9th and Congress, Austin, TX",30.273049,-97.749542,0.07,intersection,,"9th St W",Austin,TX,"Travis County",78701,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 30"," Tonight: Beto for America Launch - Houston ",15198," TX","Texas Southern University, Houston, TX",29.740419,-95.320471,1,street_center,,"Texas St",Houston,TX,"Harris County",77011,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 30"," Beto for America Launch: Livestream Watch Parties ",845,,,0,0,0,,,,,,,,,
"MAR 30"," Beto For America Launch - El Paso ",11146," TX","Corner of El Paso St and Overland Ave, El Paso, TX",31.852715,-106.615859,1,street_center,,"Cory Dr","El Paso",TX,"El Paso County",79932,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 24"," Las Vegas Meet and Greet with Young Democrats ",1134," NV","Pour Coffeehouse 6811 S Eastern Ave #104-D Las Vegas, NV",36.17372,-115.10647,1,place,,,"Las Vegas",NV,"Clark County",89101,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 24"," Cafe con Beto en Las Vegas ",960," NV","Arandas Taqueria 2040 N. Nellis Blvd, Las Vegas, NV",36.123649,-115.221833,1,street_center,,"Arandas Ct","Las Vegas",NV,"Clark County",89103,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 23"," Charleston Town Hall with Senator Marlon Kimpson ",556," SC","Burke High School Gymnasium 244 President St, Charleston, SC",32.932121,-79.809994,0.3,street_center,,"Old Brick Ln",Charleston,SC,"Berkeley County",29492,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 22"," Charleston Meet and Greet ",973," SC","Tradesman Brewing Company 1647 King St Ext, Charleston, SC",32.780326,-79.940844,1,place,,,Charleston,SC,"Charleston County",29401,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 22"," Orangeburg Meet and Greet ",178," SC","Student Center Plaza, South Carolina State University, Orangeburg, SC",33.490935,-80.821825,1,place,,,Orangeburg,SC,"Orangeburg County",29115,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 22"," Columbia Meet and Greet ",913," SC","Russell House (Student Union) Patio 1400 Greene St, Columbia, SC",33.987454,-81.024864,1,place,,,Columbia,SC,"Richland County",29201,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 22"," Rock Hill Meet and Greet ",905," SC","Amelie’s Cafe 157 E Main St, Rock Hill, SC",34.909109,-81.052437,1,place,,,"Rock Hill",SC,"York County",29730,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 21"," Laconia, NH Meet and Greet ",167," NH","Wayfarer Coffee Roasters 626 Main St, Laconia, NH",43.576423,-71.481025,1,place,,,Laconia,NH,"Belknap County",03246,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 21"," Manchester, NH Meet and Greet ",402," NH","Consuelos Taqueria  36 Amherst St, Manchester, NH",42.988483,-71.462111,1,place,,,Manchester,NH,"Hillsborough County",03101,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 21"," Portsmouth, NH Meet and Greet ",395," NH","Popovers in Market Square 8 Congress Street, Portsmouth, NH",43.005895,-71.013202,1,place,,,Portsmouth,NH,"Rockingham County",00210,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 20"," UNH Meet and Greet ",418," NH","University of New Hampshire 95 Main St, Durham, NH",43.14133,-70.92294,1,place,,,Durham,NH,"Strafford County",03824,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 20"," Conway, NH Meet and Greet ",187," NH","Tuckerman Brewing Co. Conway  66 Hobbs St, Conway, NH",43.98132,-71.12722,1,place,,,Conway,NH,"Carroll County",03818,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 20"," Plymouth, NH Meet and Greet ",137," NH","Plymouth State 17 High St, Plymouth, NH",43.710919,-71.694017,1,place,,,Plymouth,NH,"Grafton County",03264,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 20"," Claremont, NH Meet and Greet ",118," NH","Common Man Inn  20 Water St, Claremont, NH",43.37674,-72.34676,1,place,,,Claremont,NH,"Sullivan County",03743,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 19"," Keene, NH Meet and Greet ",550," NH","Keene State College Student Center 229 Main St, Keene, NH",42.965044,-72.294803,1,place,,,Keene,NH,"Cheshire County",03431,US,"TIGER/Line® dataset from the US Census Bureau"
"MAR 19"," State College, PA Meet and Greet ",906," PA","Hetzel Union Building Room 129 ABC 16802 Pollock Road State College, PA",40.797831,-77.853264,1,street_center,,"Hetzel St","State College",PA,"Centre County",16801,US,"TIGER/Line® dataset from the US Census Bureau"
